anadil,erkek,kadin,toplam
Türkçe,299171,261694,560865
Abazaca,120,86,206
Acemce,269,108,377
Almanca,1642,1999,3641
Arapca,1342,1339,2681
Arnavutça,3504,2671,6175
Bosnakça,371,366,737
Bulgarca,1240,987,2227
Çekçe,64,52,116
Çerkesce,56,46,102
Ermenice,17405,22009,39414
Flemenkçe,12,7,19
Fransızca,1572,2213,3785
Gürcüce,152,146,298
Hırvatça,16,17,33
Ingilizce,472,476,948
Ispanyolca,3731,4477,8208
Isveçce,24,35,59
Italyanca,1655,1873,3528
Kıbtice,71,159,230
Kürtce,1462,370,1832
Laz,19,4,23
Lehce,87,124,211
Macarca,218,206,424
Pomakça,12,2,14
Rumence,57,84,141
Rumca,32043,42788,74831
Rusca,1126,1088,2214
Sırpca,413,299,712
Tatarca,176,289,465
Yahudi İspanyolcası,12035,14156,26161
Diğerleri,244,124,368

